Date,Customer Name,Product ID,Amount
2024-08-14,Anita Joshi,P1005,4226.56
2024-04-12,Neha Verma,P1005,4373.09
2024-11-11,Priya Patel,P1005,3283.43
2024-07-15,Vikram Singh,P1003,387.05
2024-04-07,Rajesh Kumar,P1005,2857.59
2024-03-08,Neha Verma,P1002,2946.92
2024-11-25,Amit Sharma,P1004,3402.04
2025-02-04,Priya Patel,P1005,2928.57
2024-05-23,Amit Sharma,P1005,3407.06
2024-09-09,Amit Sharma,P1002,3818.7
2024-08-02,Amit Sharma,P1005,763.94
2024-09-30,Anita Joshi,P1003,1346.89
2024-10-01,Rajesh Kumar,P1005,1624.52
2024-08-02,Priya Patel,P1003,646.63
2024-06-26,Rajesh Kumar,P1001,481.71
2024-10-29,Rajesh Kumar,P1003,2934.98
2024-10-25,Vikram Singh,P1001,2562.62
2024-11-27,Amit Sharma,P1002,2800.8
2024-06-01,Rajesh Kumar,P1004,2134.94
2024-04-08,Rajesh Kumar,P1004,382.44
2025-02-15,Priya Patel,P1004,3429.75
2024-04-03,Vikram Singh,P1002,711.91
2024-06-29,Vikram Singh,P1005,3917.6
2024-10-12,Priya Patel,P1004,2974.16
2025-02-08,Suresh Reddy,P1004,4429.72
2024-06-06,Vikram Singh,P1003,1310.92
2024-02-28,Vikram Singh,P1004,147.74
2024-10-25,Suresh Reddy,P1005,3681.75
2024-08-12,Neha Verma,P1002,2328.6
2024-02-29,Anita Joshi,P1001,1823.32
2024-02-29,Vikram Singh,P1004,1597.6
2024-06-27,Priya Patel,P1003,2047.16
2024-12-17,Rajesh Kumar,P1005,3086.8
2024-05-29,Anita Joshi,P1001,1354.86
2024-09-14,Neha Verma,P1001,2217.91
2025-02-15,Suresh Reddy,P1005,1188.79
2024-06-06,Neha Verma,P1003,1390.61
2024-12-18,Rajesh Kumar,P1003,2091.34
2024-08-18,Neha Verma,P1004,340.67
2024-11-06,Neha Verma,P1002,4189.99
2024-07-12,Vikram Singh,P1001,2259.51
